epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1682853453686,2023-04-30T14.17.33.686,0.414,-0.059,0.061,0.044
1682853453696,2023-04-30T14.17.33.696,0.424,-0.068,0.069,0.053
1682853453707,2023-04-30T14.17.33.707,0.435,-0.041,0.062,0.068
1682853453717,2023-04-30T14.17.33.717,0.445,-0.009,0.049,0.077
1682853453726,2023-04-30T14.17.33.726,0.454,0.018,0.033,0.080
1682853453736,2023-04-30T14.17.33.736,0.464,0.038,0.020,0.066
1682853453748,2023-04-30T14.17.33.748,0.476,0.058,0.020,0.069
1682853453757,2023-04-30T14.17.33.757,0.485,0.042,0.033,0.084
1682853453767,2023-04-30T14.17.33.767,0.495,0.030,0.046,0.085
1682853453777,2023-04-30T14.17.33.777,0.505,0.016,0.045,0.057
1682853453787,2023-04-30T14.17.33.787,0.515,-0.016,0.046,0.025
1682853453798,2023-04-30T14.17.33.798,0.526,-0.007,0.052,0.031
1682853453808,2023-04-30T14.17.33.808,0.536,0.031,0.035,0.032
1682853453818,2023-04-30T14.17.33.818,0.546,0.052,0.031,0.040
1682853453828,2023-04-30T14.17.33.828,0.556,0.067,0.019,0.049
1682853453837,2023-04-30T14.17.33.837,0.565,0.067,0.007,0.038
1682853453847,2023-04-30T14.17.33.847,0.575,0.065,0.007,0.048
1682853453858,2023-04-30T14.17.33.858,0.586,0.057,-0.002,0.034
1682853453868,2023-04-30T14.17.33.868,0.596,0.035,0.012,0.029
1682853453878,2023-04-30T14.17.33.878,0.606,0.033,0.014,0.042
1682853453888,2023-04-30T14.17.33.888,0.616,0.036,0.000,0.040
1682853453899,2023-04-30T14.17.33.899,0.627,0.028,0.003,0.045
1682853453909,2023-04-30T14.17.33.909,0.637,0.014,0.002,0.022
1682853453919,2023-04-30T14.17.33.919,0.647,-0.003,-0.004,-0.019
1682853453929,2023-04-30T14.17.33.929,0.657,0.005,0.001,0.005
1682853453940,2023-04-30T14.17.33.940,0.668,0.026,-0.008,0.006
1682853453948,2023-04-30T14.17.33.948,0.676,0.036,-0.025,-0.020
1682853453959,2023-04-30T14.17.33.959,0.687,0.032,-0.021,-0.020
1682853453969,2023-04-30T14.17.33.969,0.697,0.027,-0.013,-0.019
1682853453979,2023-04-30T14.17.33.979,0.707,0.019,0.002,-0.004
1682853453989,2023-04-30T14.17.33.989,0.717,0.025,-0.003,-0.006
1682853454000,2023-04-30T14.17.34.000,0.728,0.028,-0.005,-0.006
1682853454010,2023-04-30T14.17.34.010,0.738,0.037,-0.007,-0.003
1682853454020,2023-04-30T14.17.34.020,0.748,0.043,-0.007,0.015
1682853454030,2023-04-30T14.17.34.030,0.758,0.032,0.007,0.032
1682853454041,2023-04-30T14.17.34.041,0.769,0.030,-0.004,0.013
1682853454050,2023-04-30T14.17.34.050,0.778,0.023,-0.012,-0.001
1682853454060,2023-04-30T14.17.34.060,0.788,0.014,0.002,0.010
1682853454071,2023-04-30T14.17.34.071,0.799,0.007,0.010,0.012
1682853454080,2023-04-30T14.17.34.080,0.808,0.009,0.017,0.031
1682853454091,2023-04-30T14.17.34.091,0.819,0.008,0.021,0.030
1682853454101,2023-04-30T14.17.34.101,0.829,0.017,0.012,0.017
1682853454111,2023-04-30T14.17.34.111,0.839,0.025,0.008,0.016
1682853454121,2023-04-30T14.17.34.121,0.849,0.029,0.010,0.026
1682853454132,2023-04-30T14.17.34.132,0.860,0.041,-0.008,0.008
1682853454142,2023-04-30T14.17.34.142,0.870,0.043,-0.013,0.007
1682853454152,2023-04-30T14.17.34.152,0.880,0.027,0.008,0.030
1682853454161,2023-04-30T14.17.34.161,0.889,0.020,0.010,0.028
1682853454171,2023-04-30T14.17.34.171,0.899,0.023,-0.006,-0.003
1682853454181,2023-04-30T14.17.34.181,0.909,0.011,-0.006,-0.018
1682853454192,2023-04-30T14.17.34.192,0.920,0.004,0.010,-0.006
1682853454202,2023-04-30T14.17.34.202,0.930,-0.004,0.010,-0.013
1682853454212,2023-04-30T14.17.34.212,0.940,-0.007,0.010,-0.008
