epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1651820554516,2022-05-06T10.02.34.516,0.000,-0.939,0.058,0.384
1651820554555,2022-05-06T10.02.34.555,0.039,-0.934,0.054,0.390
1651820554595,2022-05-06T10.02.34.595,0.079,-0.932,0.065,0.384
1651820554636,2022-05-06T10.02.34.636,0.120,-0.947,0.067,0.383
1651820554675,2022-05-06T10.02.34.675,0.159,-0.921,0.061,0.396
1651820554716,2022-05-06T10.02.34.716,0.200,-0.924,0.058,0.391
1651820554756,2022-05-06T10.02.34.756,0.240,-0.937,0.053,0.390
1651820554796,2022-05-06T10.02.34.796,0.280,-0.933,0.069,0.393
1651820554837,2022-05-06T10.02.34.837,0.321,-0.934,0.061,0.389
1651820554876,2022-05-06T10.02.34.876,0.360,-0.941,0.061,0.384
1651820554916,2022-05-06T10.02.34.916,0.400,-0.939,0.055,0.381
1651820554957,2022-05-06T10.02.34.957,0.441,-0.937,0.062,0.386
1651820554996,2022-05-06T10.02.34.996,0.480,-0.929,0.057,0.394
1651820555037,2022-05-06T10.02.35.037,0.521,-0.933,0.057,0.390
1651820555077,2022-05-06T10.02.35.077,0.561,-0.935,0.055,0.389
1651820555116,2022-05-06T10.02.35.116,0.600,-0.939,0.052,0.391
1651820555157,2022-05-06T10.02.35.157,0.641,-0.933,0.069,0.390
1651820555197,2022-05-06T10.02.35.197,0.681,-0.932,0.062,0.391
1651820555238,2022-05-06T10.02.35.238,0.722,-0.937,0.063,0.389
1651820555277,2022-05-06T10.02.35.277,0.761,-0.937,0.059,0.389
1651820555317,2022-05-06T10.02.35.317,0.801,-0.919,0.047,0.399
1651820555358,2022-05-06T10.02.35.358,0.842,-0.933,0.063,0.396
1651820555398,2022-05-06T10.02.35.398,0.882,-0.936,0.062,0.394
1651820555439,2022-05-06T10.02.35.439,0.923,-0.929,0.047,0.397
1651820555478,2022-05-06T10.02.35.478,0.962,-0.938,0.052,0.395
1651820555518,2022-05-06T10.02.35.518,1.002,-0.938,0.056,0.393
1651820555559,2022-05-06T10.02.35.559,1.043,-0.921,0.062,0.392
1651820555598,2022-05-06T10.02.35.598,1.082,-0.939,0.055,0.393
1651820555639,2022-05-06T10.02.35.639,1.123,-0.929,0.048,0.409
1651820555679,2022-05-06T10.02.35.679,1.163,-0.928,0.052,0.406
1651820555718,2022-05-06T10.02.35.718,1.202,-0.931,0.052,0.401
1651820555759,2022-05-06T10.02.35.759,1.243,-0.930,0.037,0.397
1651820555799,2022-05-06T10.02.35.799,1.283,-0.929,0.037,0.395
1651820555840,2022-05-06T10.02.35.840,1.324,-0.931,0.042,0.401
1651820555880,2022-05-06T10.02.35.880,1.364,-0.932,0.042,0.397
1651820555919,2022-05-06T10.02.35.919,1.403,-0.932,0.044,0.397
1651820555960,2022-05-06T10.02.35.960,1.444,-0.933,0.042,0.397
1651820556000,2022-05-06T10.02.36.000,1.484,-0.934,0.041,0.394
1651820556041,2022-05-06T10.02.36.041,1.525,-0.934,0.041,0.391
1651820556080,2022-05-06T10.02.36.080,1.564,-0.937,0.040,0.390
1651820556120,2022-05-06T10.02.36.120,1.604,-0.940,0.045,0.390
1651820556161,2022-05-06T10.02.36.161,1.645,-0.927,0.046,0.396
1651820556200,2022-05-06T10.02.36.200,1.684,-0.935,0.044,0.396
1651820556241,2022-05-06T10.02.36.241,1.725,-0.936,0.042,0.393
1651820556281,2022-05-06T10.02.36.281,1.765,-0.933,0.042,0.386
1651820556320,2022-05-06T10.02.36.320,1.804,-0.936,0.039,0.382
1651820556361,2022-05-06T10.02.36.361,1.845,-0.935,0.048,0.380
1651820556401,2022-05-06T10.02.36.401,1.885,-0.944,0.046,0.384
1651820556441,2022-05-06T10.02.36.441,1.925,-0.942,0.036,0.389
1651820556482,2022-05-06T10.02.36.482,1.966,-0.943,0.045,0.387
1651820556521,2022-05-06T10.02.36.521,2.005,-0.933,0.042,0.384
1651820556562,2022-05-06T10.02.36.562,2.046,-0.929,0.039,0.380
1651820556602,2022-05-06T10.02.36.602,2.086,-0.938,0.040,0.379
1651820556641,2022-05-06T10.02.36.641,2.125,-0.936,0.047,0.384
1651820556682,2022-05-06T10.02.36.682,2.166,-0.938,0.049,0.384
1651820556722,2022-05-06T10.02.36.722,2.206,-0.945,0.049,0.378
1651820556763,2022-05-06T10.02.36.763,2.247,-0.943,0.053,0.376
1651820556802,2022-05-06T10.02.36.802,2.286,-0.940,0.051,0.378
1651820556843,2022-05-06T10.02.36.843,2.327,-0.941,0.049,0.375
1651820556883,2022-05-06T10.02.36.883,2.367,-0.935,0.050,0.376
1651820556922,2022-05-06T10.02.36.922,2.406,-0.936,0.050,0.375
1651820556963,2022-05-06T10.02.36.963,2.447,-0.941,0.047,0.377
1651820557003,2022-05-06T10.02.37.003,2.487,-0.941,0.053,0.381
1651820557043,2022-05-06T10.02.37.043,2.527,-0.939,0.054,0.379
1651820557084,2022-05-06T10.02.37.084,2.568,-0.943,0.056,0.374
1651820557123,2022-05-06T10.02.37.123,2.607,-0.944,0.052,0.375
1651820557164,2022-05-06T10.02.37.164,2.648,-0.932,0.050,0.382
1651820557204,2022-05-06T10.02.37.204,2.688,-0.928,0.049,0.384
1651820557243,2022-05-06T10.02.37.243,2.727,-0.940,0.053,0.380
1651820557284,2022-05-06T10.02.37.284,2.768,-0.943,0.052,0.375
1651820557324,2022-05-06T10.02.37.324,2.808,-0.941,0.051,0.376
1651820557365,2022-05-06T10.02.37.365,2.849,-0.938,0.048,0.378
1651820557404,2022-05-06T10.02.37.404,2.888,-0.936,0.048,0.377
1651820557444,2022-05-06T10.02.37.444,2.928,-0.941,0.047,0.372
1651820557485,2022-05-06T10.02.37.485,2.969,-0.945,0.045,0.371
1651820557525,2022-05-06T10.02.37.525,3.009,-0.942,0.051,0.372
1651820557566,2022-05-06T10.02.37.566,3.050,-0.941,0.048,0.373
1651820557605,2022-05-06T10.02.37.605,3.089,-0.941,0.048,0.372
1651820557645,2022-05-06T10.02.37.645,3.129,-0.942,0.046,0.373
1651820557686,2022-05-06T10.02.37.686,3.170,-0.942,0.043,0.372
1651820557725,2022-05-06T10.02.37.725,3.209,-0.943,0.043,0.369
1651820557765,2022-05-06T10.02.37.765,3.249,-0.941,0.045,0.370
1651820557806,2022-05-06T10.02.37.806,3.290,-0.940,0.047,0.373
1651820557845,2022-05-06T10.02.37.845,3.329,-0.941,0.045,0.370
1651820557886,2022-05-06T10.02.37.886,3.370,-0.946,0.042,0.371
1651820557926,2022-05-06T10.02.37.926,3.410,-0.940,0.045,0.374
1651820557965,2022-05-06T10.02.37.965,3.449,-0.938,0.043,0.369
1651820558006,2022-05-06T10.02.38.006,3.490,-0.947,0.037,0.368
1651820558046,2022-05-06T10.02.38.046,3.530,-0.948,0.045,0.368
1651820558087,2022-05-06T10.02.38.087,3.571,-0.941,0.047,0.370
1651820558127,2022-05-06T10.02.38.127,3.611,-0.940,0.045,0.370
1651820558166,2022-05-06T10.02.38.166,3.650,-0.947,0.038,0.366
1651820558207,2022-05-06T10.02.38.207,3.691,-0.942,0.043,0.368
1651820558247,2022-05-06T10.02.38.247,3.731,-0.940,0.040,0.370
1651820558288,2022-05-06T10.02.38.288,3.772,-0.944,0.036,0.367
1651820558327,2022-05-06T10.02.38.327,3.811,-0.950,0.038,0.368
1651820558367,2022-05-06T10.02.38.367,3.851,-0.943,0.043,0.370
1651820558408,2022-05-06T10.02.38.408,3.892,-0.938,0.044,0.369
1651820558447,2022-05-06T10.02.38.447,3.931,-0.943,0.043,0.369
1651820558488,2022-05-06T10.02.38.488,3.972,-0.949,0.044,0.369
1651820558528,2022-05-06T10.02.38.528,4.012,-0.952,0.047,0.371
1651820558567,2022-05-06T10.02.38.567,4.051,-0.940,0.046,0.376
1651820558609,2022-05-06T10.02.38.609,4.093,-0.924,0.047,0.382
1651820558648,2022-05-06T10.02.38.648,4.132,-0.945,0.036,0.379
1651820558689,2022-05-06T10.02.38.689,4.173,-0.941,0.038,0.376
1651820558729,2022-05-06T10.02.38.729,4.213,-0.928,0.066,0.375
1651820558768,2022-05-06T10.02.38.768,4.252,-0.934,0.060,0.378
1651820558809,2022-05-06T10.02.38.809,4.293,-0.950,0.043,0.384
1651820558849,2022-05-06T10.02.38.849,4.333,-0.946,0.052,0.382
1651820558890,2022-05-06T10.02.38.890,4.374,-0.931,0.040,0.383
1651820558929,2022-05-06T10.02.38.929,4.413,-0.931,0.038,0.377
1651820558969,2022-05-06T10.02.38.969,4.453,-0.938,0.042,0.374
1651820559010,2022-05-06T10.02.39.010,4.494,-0.942,0.040,0.381
1651820559049,2022-05-06T10.02.39.049,4.533,-0.942,0.045,0.385
1651820559089,2022-05-06T10.02.39.089,4.573,-0.938,0.052,0.383
1651820559130,2022-05-06T10.02.39.130,4.614,-0.933,0.045,0.381
1651820559170,2022-05-06T10.02.39.170,4.654,-0.936,0.048,0.382
1651820559211,2022-05-06T10.02.39.211,4.695,-0.941,0.050,0.380
1651820559250,2022-05-06T10.02.39.250,4.734,-0.945,0.052,0.374
1651820559290,2022-05-06T10.02.39.290,4.774,-0.940,0.056,0.375
1651820559331,2022-05-06T10.02.39.331,4.815,-0.932,0.051,0.381
1651820559370,2022-05-06T10.02.39.370,4.854,-0.938,0.066,0.375
1651820559411,2022-05-06T10.02.39.411,4.895,-0.938,0.041,0.382
1651820559451,2022-05-06T10.02.39.451,4.935,-0.942,0.059,0.372
1651820559490,2022-05-06T10.02.39.490,4.974,-0.947,0.060,0.372
1651820559531,2022-05-06T10.02.39.531,5.015,-0.942,0.045,0.377
1651820559571,2022-05-06T10.02.39.571,5.055,-0.938,0.065,0.373
1651820559612,2022-05-06T10.02.39.612,5.096,-0.933,0.063,0.368
1651820559651,2022-05-06T10.02.39.651,5.135,-0.941,0.043,0.375
1651820559691,2022-05-06T10.02.39.691,5.175,-0.946,0.061,0.375
1651820559732,2022-05-06T10.02.39.732,5.216,-0.941,0.065,0.376
1651820559772,2022-05-06T10.02.39.772,5.256,-0.940,0.057,0.375
1651820559813,2022-05-06T10.02.39.813,5.297,-0.937,0.052,0.372
1651820559852,2022-05-06T10.02.39.852,5.336,-0.943,0.047,0.376
1651820559892,2022-05-06T10.02.39.892,5.376,-0.930,0.060,0.382
1651820559933,2022-05-06T10.02.39.933,5.417,-0.942,0.071,0.376
1651820559972,2022-05-06T10.02.39.972,5.456,-0.943,0.042,0.378
1651820560013,2022-05-06T10.02.40.013,5.497,-0.941,0.053,0.378
1651820560053,2022-05-06T10.02.40.053,5.537,-0.939,0.049,0.384
1651820560092,2022-05-06T10.02.40.092,5.576,-0.933,0.049,0.389
1651820560133,2022-05-06T10.02.40.133,5.617,-0.931,0.039,0.386
1651820560173,2022-05-06T10.02.40.173,5.657,-0.936,0.039,0.383
1651820560213,2022-05-06T10.02.40.213,5.697,-0.938,0.045,0.385
1651820560254,2022-05-06T10.02.40.254,5.738,-0.938,0.046,0.386
1651820560293,2022-05-06T10.02.40.293,5.777,-0.940,0.044,0.386
1651820560334,2022-05-06T10.02.40.334,5.818,-0.938,0.042,0.387
1651820560374,2022-05-06T10.02.40.374,5.858,-0.934,0.041,0.387
1651820560413,2022-05-06T10.02.40.413,5.897,-0.933,0.040,0.385
1651820560454,2022-05-06T10.02.40.454,5.938,-0.937,0.038,0.385
1651820560494,2022-05-06T10.02.40.494,5.978,-0.938,0.041,0.386
1651820560535,2022-05-06T10.02.40.535,6.019,-0.938,0.043,0.387
1651820560574,2022-05-06T10.02.40.574,6.058,-0.939,0.042,0.387
1651820560614,2022-05-06T10.02.40.614,6.098,-0.934,0.041,0.384
1651820560655,2022-05-06T10.02.40.655,6.139,-0.936,0.038,0.382
1651820560694,2022-05-06T10.02.40.694,6.178,-0.939,0.041,0.385
1651820560735,2022-05-06T10.02.40.735,6.219,-0.938,0.044,0.389
1651820560775,2022-05-06T10.02.40.775,6.259,-0.935,0.041,0.387
1651820560815,2022-05-06T10.02.40.815,6.299,-0.937,0.041,0.381
1651820560856,2022-05-06T10.02.40.856,6.340,-0.942,0.039,0.378
1651820560895,2022-05-06T10.02.40.895,6.379,-0.936,0.037,0.387
1651820560936,2022-05-06T10.02.40.936,6.420,-0.923,0.041,0.395
1651820560976,2022-05-06T10.02.40.976,6.460,-0.937,0.044,0.386
1651820561015,2022-05-06T10.02.41.015,6.499,-0.940,0.043,0.385
1651820561056,2022-05-06T10.02.41.056,6.540,-0.936,0.042,0.391
1651820561096,2022-05-06T10.02.41.096,6.580,-0.935,0.042,0.390
1651820561137,2022-05-06T10.02.41.137,6.621,-0.935,0.040,0.388
1651820561176,2022-05-06T10.02.41.176,6.660,-0.935,0.041,0.389
1651820561216,2022-05-06T10.02.41.216,6.700,-0.936,0.041,0.390
1651820561257,2022-05-06T10.02.41.257,6.741,-0.935,0.041,0.390
1651820561297,2022-05-06T10.02.41.297,6.781,-0.936,0.041,0.390
1651820561338,2022-05-06T10.02.41.338,6.822,-0.936,0.041,0.390
1651820561377,2022-05-06T10.02.41.377,6.861,-0.937,0.040,0.390
1651820561417,2022-05-06T10.02.41.417,6.901,-0.934,0.041,0.391
1651820561458,2022-05-06T10.02.41.458,6.942,-0.934,0.040,0.391
1651820561497,2022-05-06T10.02.41.497,6.981,-0.934,0.042,0.391
1651820561538,2022-05-06T10.02.41.538,7.022,-0.935,0.038,0.394
1651820561578,2022-05-06T10.02.41.578,7.062,-0.934,0.040,0.391
1651820561617,2022-05-06T10.02.41.617,7.101,-0.937,0.041,0.389
1651820561658,2022-05-06T10.02.41.658,7.142,-0.937,0.040,0.392
1651820561698,2022-05-06T10.02.41.698,7.182,-0.932,0.040,0.390
1651820561737,2022-05-06T10.02.41.737,7.221,-0.934,0.037,0.390
1651820561778,2022-05-06T10.02.41.778,7.262,-0.935,0.042,0.393
1651820561818,2022-05-06T10.02.41.818,7.302,-0.935,0.041,0.395
1651820561859,2022-05-06T10.02.41.859,7.343,-0.936,0.040,0.392
1651820561899,2022-05-06T10.02.41.899,7.383,-0.936,0.038,0.389
1651820561938,2022-05-06T10.02.41.938,7.422,-0.933,0.037,0.390
1651820561979,2022-05-06T10.02.41.979,7.463,-0.934,0.036,0.394
1651820562019,2022-05-06T10.02.42.019,7.503,-0.934,0.040,0.394
1651820562060,2022-05-06T10.02.42.060,7.544,-0.937,0.040,0.390
1651820562099,2022-05-06T10.02.42.099,7.583,-0.936,0.040,0.391
1651820562139,2022-05-06T10.02.42.139,7.623,-0.937,0.041,0.393
1651820562180,2022-05-06T10.02.42.180,7.664,-0.935,0.040,0.393
1651820562219,2022-05-06T10.02.42.219,7.703,-0.934,0.038,0.391
1651820562260,2022-05-06T10.02.42.260,7.744,-0.934,0.038,0.393
1651820562300,2022-05-06T10.02.42.300,7.784,-0.934,0.039,0.394
1651820562339,2022-05-06T10.02.42.339,7.823,-0.933,0.039,0.393
1651820562380,2022-05-06T10.02.42.380,7.864,-0.934,0.040,0.392
1651820562420,2022-05-06T10.02.42.420,7.904,-0.935,0.040,0.393
1651820562461,2022-05-06T10.02.42.461,7.945,-0.935,0.040,0.393
1651820562501,2022-05-06T10.02.42.501,7.985,-0.941,0.039,0.392
1651820562540,2022-05-06T10.02.42.540,8.024,-0.926,0.040,0.397
1651820562581,2022-05-06T10.02.42.581,8.065,-0.928,0.040,0.397
1651820562621,2022-05-06T10.02.42.621,8.105,-0.934,0.042,0.396
1651820562662,2022-05-06T10.02.42.662,8.146,-0.936,0.039,0.396
1651820562701,2022-05-06T10.02.42.701,8.185,-0.934,0.041,0.394
1651820562741,2022-05-06T10.02.42.741,8.225,-0.935,0.039,0.394
1651820562782,2022-05-06T10.02.42.782,8.266,-0.932,0.039,0.395
1651820562821,2022-05-06T10.02.42.821,8.305,-0.930,0.038,0.392
1651820562862,2022-05-06T10.02.42.862,8.346,-0.936,0.038,0.393
1651820562902,2022-05-06T10.02.42.902,8.386,-0.934,0.043,0.396
1651820562942,2022-05-06T10.02.42.942,8.426,-0.934,0.041,0.397
1651820562983,2022-05-06T10.02.42.983,8.467,-0.934,0.040,0.394
1651820563022,2022-05-06T10.02.43.022,8.506,-0.933,0.037,0.392
1651820563062,2022-05-06T10.02.43.062,8.546,-0.932,0.036,0.393
1651820563103,2022-05-06T10.02.43.103,8.587,-0.934,0.038,0.395
1651820563142,2022-05-06T10.02.43.142,8.626,-0.935,0.040,0.394
1651820563183,2022-05-06T10.02.43.183,8.667,-0.936,0.040,0.391
1651820563223,2022-05-06T10.02.43.223,8.707,-0.934,0.040,0.394
1651820563262,2022-05-06T10.02.43.262,8.746,-0.934,0.039,0.395
1651820563303,2022-05-06T10.02.43.303,8.787,-0.935,0.039,0.394
1651820563343,2022-05-06T10.02.43.343,8.827,-0.934,0.037,0.393
1651820563384,2022-05-06T10.02.43.384,8.868,-0.934,0.038,0.393
1651820563423,2022-05-06T10.02.43.423,8.907,-0.932,0.039,0.394
1651820563463,2022-05-06T10.02.43.463,8.947,-0.934,0.039,0.394
1651820563504,2022-05-06T10.02.43.504,8.988,-0.935,0.039,0.394
1651820563544,2022-05-06T10.02.43.544,9.028,-0.935,0.038,0.393
1651820563585,2022-05-06T10.02.43.585,9.069,-0.934,0.037,0.394
1651820563624,2022-05-06T10.02.43.624,9.108,-0.933,0.038,0.394
1651820563664,2022-05-06T10.02.43.664,9.148,-0.933,0.038,0.394
1651820563705,2022-05-06T10.02.43.705,9.189,-0.933,0.038,0.394
1651820563744,2022-05-06T10.02.43.744,9.228,-0.933,0.038,0.395
1651820563785,2022-05-06T10.02.43.785,9.269,-0.933,0.037,0.396
1651820563825,2022-05-06T10.02.43.825,9.309,-0.935,0.039,0.395
1651820563864,2022-05-06T10.02.43.864,9.348,-0.941,0.041,0.394
1651820563905,2022-05-06T10.02.43.905,9.389,-0.931,0.038,0.394
1651820563945,2022-05-06T10.02.43.945,9.429,-0.928,0.036,0.397
1651820563986,2022-05-06T10.02.43.986,9.470,-0.928,0.040,0.402
1651820564026,2022-05-06T10.02.44.026,9.510,-0.930,0.043,0.403
1651820564065,2022-05-06T10.02.44.065,9.549,-0.930,0.042,0.402
1651820564106,2022-05-06T10.02.44.106,9.590,-0.932,0.038,0.400
1651820564146,2022-05-06T10.02.44.146,9.630,-0.931,0.038,0.395
1651820564187,2022-05-06T10.02.44.187,9.671,-0.930,0.036,0.397
1651820564226,2022-05-06T10.02.44.226,9.710,-0.932,0.039,0.398
1651820564266,2022-05-06T10.02.44.266,9.750,-0.937,0.040,0.394
1651820564307,2022-05-06T10.02.44.307,9.791,-0.935,0.040,0.394
1651820564346,2022-05-06T10.02.44.346,9.830,-0.932,0.040,0.396
1651820564386,2022-05-06T10.02.44.386,9.870,-0.933,0.040,0.395
1651820564427,2022-05-06T10.02.44.427,9.911,-0.933,0.038,0.395
1651820564466,2022-05-06T10.02.44.466,9.950,-0.932,0.037,0.395
1651820564507,2022-05-06T10.02.44.507,9.991,-0.933,0.039,0.396
1651820564547,2022-05-06T10.02.44.547,10.031,-0.932,0.039,0.396
1651820564587,2022-05-06T10.02.44.587,10.071,-0.934,0.040,0.395
1651820564628,2022-05-06T10.02.44.628,10.112,-0.934,0.040,0.395
1651820564667,2022-05-06T10.02.44.667,10.151,-0.933,0.040,0.395
1651820564708,2022-05-06T10.02.44.708,10.192,-0.932,0.038,0.396
1651820564748,2022-05-06T10.02.44.748,10.232,-0.933,0.038,0.396
1651820564787,2022-05-06T10.02.44.787,10.271,-0.933,0.038,0.395
1651820564828,2022-05-06T10.02.44.828,10.312,-0.933,0.040,0.396
1651820564868,2022-05-06T10.02.44.868,10.352,-0.933,0.038,0.398
1651820564909,2022-05-06T10.02.44.909,10.393,-0.932,0.040,0.396
1651820564948,2022-05-06T10.02.44.948,10.432,-0.934,0.040,0.396
1651820564988,2022-05-06T10.02.44.988,10.472,-0.933,0.039,0.397
1651820565029,2022-05-06T10.02.45.029,10.513,-0.929,0.035,0.394
1651820565068,2022-05-06T10.02.45.068,10.552,-0.935,0.036,0.394
1651820565109,2022-05-06T10.02.45.109,10.593,-0.931,0.042,0.398
1651820565149,2022-05-06T10.02.45.149,10.633,-0.934,0.042,0.398
1651820565189,2022-05-06T10.02.45.189,10.673,-0.935,0.038,0.395
1651820565230,2022-05-06T10.02.45.230,10.714,-0.932,0.036,0.393
1651820565269,2022-05-06T10.02.45.269,10.753,-0.930,0.036,0.394
1651820565310,2022-05-06T10.02.45.310,10.794,-0.931,0.036,0.396
1651820565350,2022-05-06T10.02.45.350,10.834,-0.933,0.039,0.395
1651820565389,2022-05-06T10.02.45.389,10.873,-0.939,0.040,0.392
1651820565430,2022-05-06T10.02.45.430,10.914,-0.935,0.040,0.392
1651820565470,2022-05-06T10.02.45.470,10.954,-0.932,0.039,0.392
1651820565511,2022-05-06T10.02.45.511,10.995,-0.935,0.037,0.391
1651820565550,2022-05-06T10.02.45.550,11.034,-0.935,0.035,0.391
1651820565590,2022-05-06T10.02.45.590,11.074,-0.933,0.037,0.392
1651820565631,2022-05-06T10.02.45.631,11.115,-0.934,0.038,0.394
1651820565671,2022-05-06T10.02.45.671,11.155,-0.941,0.039,0.391
1651820565712,2022-05-06T10.02.45.712,11.196,-0.931,0.036,0.393
1651820565751,2022-05-06T10.02.45.751,11.235,-0.928,0.037,0.396
1651820565791,2022-05-06T10.02.45.791,11.275,-0.937,0.039,0.392
1651820565832,2022-05-06T10.02.45.832,11.316,-0.936,0.036,0.391
1651820565871,2022-05-06T10.02.45.871,11.355,-0.934,0.037,0.390
1651820565912,2022-05-06T10.02.45.912,11.396,-0.936,0.037,0.393
1651820565952,2022-05-06T10.02.45.952,11.436,-0.935,0.037,0.392
1651820565991,2022-05-06T10.02.45.991,11.475,-0.936,0.038,0.390
1651820566032,2022-05-06T10.02.46.032,11.516,-0.936,0.037,0.393
1651820566072,2022-05-06T10.02.46.072,11.556,-0.931,0.036,0.391
1651820566113,2022-05-06T10.02.46.113,11.597,-0.935,0.033,0.389
1651820566152,2022-05-06T10.02.46.152,11.636,-0.937,0.038,0.392
1651820566192,2022-05-06T10.02.46.192,11.676,-0.936,0.042,0.394
1651820566233,2022-05-06T10.02.46.233,11.717,-0.941,0.038,0.392
1651820566273,2022-05-06T10.02.46.273,11.757,-0.935,0.039,0.391
1651820566314,2022-05-06T10.02.46.314,11.798,-0.918,0.034,0.396
1651820566353,2022-05-06T10.02.46.353,11.837,-0.936,0.041,0.394
1651820566393,2022-05-06T10.02.46.393,11.877,-0.940,0.042,0.390
1651820566434,2022-05-06T10.02.46.434,11.918,-0.938,0.045,0.388
1651820566473,2022-05-06T10.02.46.473,11.957,-0.938,0.045,0.387
1651820566513,2022-05-06T10.02.46.513,11.997,-0.935,0.045,0.387
1651820566554,2022-05-06T10.02.46.554,12.038,-0.937,0.042,0.386
1651820566593,2022-05-06T10.02.46.593,12.077,-0.938,0.043,0.383
1651820566634,2022-05-06T10.02.46.634,12.118,-0.938,0.043,0.385
1651820566674,2022-05-06T10.02.46.674,12.158,-0.937,0.046,0.385
1651820566713,2022-05-06T10.02.46.713,12.197,-0.938,0.046,0.383
1651820566755,2022-05-06T10.02.46.755,12.239,-0.938,0.046,0.382
1651820566794,2022-05-06T10.02.46.794,12.278,-0.938,0.045,0.383
1651820566835,2022-05-06T10.02.46.835,12.319,-0.937,0.046,0.383
1651820566875,2022-05-06T10.02.46.875,12.359,-0.935,0.048,0.383
1651820566914,2022-05-06T10.02.46.914,12.398,-0.938,0.046,0.383
1651820566955,2022-05-06T10.02.46.955,12.439,-0.937,0.047,0.385
1651820566995,2022-05-06T10.02.46.995,12.479,-0.938,0.048,0.385
1651820567036,2022-05-06T10.02.47.036,12.520,-0.939,0.048,0.384
1651820567075,2022-05-06T10.02.47.075,12.559,-0.938,0.049,0.385
1651820567115,2022-05-06T10.02.47.115,12.599,-0.941,0.048,0.381
1651820567156,2022-05-06T10.02.47.156,12.640,-0.925,0.043,0.391
1651820567195,2022-05-06T10.02.47.195,12.679,-0.930,0.053,0.391
1651820567236,2022-05-06T10.02.47.236,12.720,-0.940,0.057,0.388
1651820567276,2022-05-06T10.02.47.276,12.760,-0.939,0.054,0.384
1651820567316,2022-05-06T10.02.47.316,12.800,-0.936,0.048,0.381
1651820567357,2022-05-06T10.02.47.357,12.841,-0.934,0.050,0.380
1651820567396,2022-05-06T10.02.47.396,12.880,-0.937,0.053,0.383
1651820567437,2022-05-06T10.02.47.437,12.921,-0.937,0.056,0.382
1651820567477,2022-05-06T10.02.47.477,12.961,-0.940,0.054,0.380
1651820567516,2022-05-06T10.02.47.516,13.000,-0.938,0.055,0.381
1651820567557,2022-05-06T10.02.47.557,13.041,-0.937,0.053,0.383
1651820567597,2022-05-06T10.02.47.597,13.081,-0.937,0.052,0.382
1651820567638,2022-05-06T10.02.47.638,13.122,-0.938,0.051,0.381
1651820567677,2022-05-06T10.02.47.677,13.161,-0.943,0.056,0.378
1651820567717,2022-05-06T10.02.47.717,13.201,-0.936,0.055,0.381
1651820567758,2022-05-06T10.02.47.758,13.242,-0.930,0.054,0.385
1651820567797,2022-05-06T10.02.47.797,13.281,-0.938,0.055,0.382
1651820567838,2022-05-06T10.02.47.838,13.322,-0.940,0.055,0.379
1651820567878,2022-05-06T10.02.47.878,13.362,-0.939,0.053,0.379
1651820567918,2022-05-06T10.02.47.918,13.402,-0.938,0.054,0.380
1651820567959,2022-05-06T10.02.47.959,13.443,-0.937,0.055,0.381
1651820567998,2022-05-06T10.02.47.998,13.482,-0.939,0.053,0.379
1651820568039,2022-05-06T10.02.48.039,13.523,-0.940,0.053,0.380
1651820568079,2022-05-06T10.02.48.079,13.563,-0.934,0.050,0.382
1651820568118,2022-05-06T10.02.48.118,13.602,-0.930,0.048,0.382
1651820568159,2022-05-06T10.02.48.159,13.643,-0.943,0.054,0.380
1651820568199,2022-05-06T10.02.48.199,13.683,-0.946,0.053,0.383
1651820568240,2022-05-06T10.02.48.240,13.724,-0.936,0.058,0.382
1651820568279,2022-05-06T10.02.48.279,13.763,-0.934,0.053,0.380
1651820568319,2022-05-06T10.02.48.319,13.803,-0.936,0.052,0.380
1651820568360,2022-05-06T10.02.48.360,13.844,-0.938,0.064,0.382
1651820568400,2022-05-06T10.02.48.400,13.884,-0.937,0.062,0.383
1651820568441,2022-05-06T10.02.48.441,13.925,-0.938,0.035,0.389
1651820568480,2022-05-06T10.02.48.480,13.964,-0.932,0.057,0.384
1651820568520,2022-05-06T10.02.48.520,14.004,-0.931,0.055,0.386
1651820568561,2022-05-06T10.02.48.561,14.045,-0.934,0.057,0.386
1651820568600,2022-05-06T10.02.48.600,14.084,-0.939,0.057,0.384
1651820568641,2022-05-06T10.02.48.641,14.125,-0.939,0.052,0.385
1651820568681,2022-05-06T10.02.48.681,14.165,-0.938,0.056,0.385
1651820568720,2022-05-06T10.02.48.720,14.204,-0.935,0.051,0.384
1651820568761,2022-05-06T10.02.48.761,14.245,-0.936,0.049,0.383
1651820568801,2022-05-06T10.02.48.801,14.285,-0.936,0.052,0.384
1651820568842,2022-05-06T10.02.48.842,14.326,-0.937,0.054,0.387
1651820568881,2022-05-06T10.02.48.881,14.365,-0.941,0.052,0.387
1651820568921,2022-05-06T10.02.48.921,14.405,-0.930,0.054,0.391
1651820568962,2022-05-06T10.02.48.962,14.446,-0.926,0.056,0.390
1651820569002,2022-05-06T10.02.49.002,14.486,-0.931,0.058,0.391
1651820569043,2022-05-06T10.02.49.043,14.527,-0.946,0.051,0.388
1651820569082,2022-05-06T10.02.49.082,14.566,-0.940,0.047,0.392
1651820569122,2022-05-06T10.02.49.122,14.606,-0.928,0.057,0.384
1651820569163,2022-05-06T10.02.49.163,14.647,-0.928,0.051,0.388
1651820569202,2022-05-06T10.02.49.202,14.686,-0.931,0.071,0.389
