,MVN version,2021.0.1
0,Original File Name,C:\Users\Nitzane Zer Zion\Documents\???????\???? ??? - ??????????\???\??????\??????\????? 10\????? 10 ????? ????? ??????-002.mvn
1,Suit Label,MVN System 1
2,Recorded Date UTC,2023-12-28 10:15:58
3,Frame Rate,100
4,Processing Quality,Live
