,MVN version,2021.0.1
0,Original File Name,C:\Users\Nitzane Zer Zion\Documents\???????\???? ??? - ??????????\???\??????\??????\????? 21\?????? 21 ????? ??????-001.mvn
1,Suit Label,MVN System 1
2,Recorded Date UTC,2024-02-21 11:02:31
3,Frame Rate,100
4,Processing Quality,Live
