,Frame,CoM pos x,CoM pos y,CoM pos z,CoM vel x,CoM vel y,CoM vel z,CoM acc x,CoM acc y,CoM acc z
0,1520,-0.0594667514949802,-0.0293127270012902,0.971685450219756,0.034186486697002,0.00759987467028953,-0.000376151266511087,0.0867377354608155,-0.00756489658195424,0.0731807862245188
1,1521,-0.0591006695033351,-0.029216615769532,0.971666955694202,0.0361572205244872,0.00772905041981839,-0.000417311449549768,0.0721181757800184,0.0573861054449394,0.0296598582231806
2,1522,-0.058727128937683,-0.0291117617013495,0.971650500522588,0.0367038170397826,0.00808763640769787,5.8833906896682e-05,0.0752141143731719,0.0258418044937426,0.0543583735419435
3,1523,-0.0583545671121176,-0.0290011690846079,0.971636115819865,0.0366580124132623,0.00851279792632962,0.00011911629550432,0.0578334785736031,0.0191595975624014,0.017468489051434
4,1524,-0.0579844622806489,-0.0288815306249569,0.971622192565342,0.0364235226896457,0.00891929365034549,0.00011169590387141,0.0651405343745618,-0.000433876243178254,0.00634249501874873
5,1525,-0.0576166758955923,-0.0287532814671307,0.971608358779508,0.0360384138006641,0.0092247191677234,-6.92451485427837e-06,0.0838833025219516,-0.0440238626040817,-0.00559098872635328
6,1526,-0.0572111827583424,-0.0286262821960192,0.971590404194709,0.0363544303727478,0.00922772581140315,-0.000417480106890624,0.0776399075445384,-0.00959690397846177,-0.0261637336397139
7,1527,-0.0568287214004642,-0.0285175965751684,0.971576758618801,0.036155054831157,0.00895350216432518,-0.000142639531255066,0.126976062321214,-0.0323004275799478,0.0120544577634052
8,1528,-0.056431538287544,-0.0284034193283753,0.971563702937011,0.0372291697961025,0.00891613456104034,-0.000496842577664428,0.0296314957001577,0.0155072080134516,-0.0158813683325905
9,1529,-0.0560365793731752,-0.0282745387400052,0.971551947026481,0.0370173106931315,0.00968509968745726,-0.000467315100352206,0.067590800861702,0.000127231774130949,-0.00730971529333781
10,1530,-0.0556312874230066,-0.0281334688120882,0.971539291606536,0.0376502723394231,0.0106400768779861,-0.000912739712007864,0.00296568584083217,0.0160720619646612,-0.0324431844576094
11,1531,-0.0552094811788715,-0.0279874321866857,0.971523943824449,0.0393257467637364,0.0115152228586089,-0.00125905557944691,0.01495666737847,0.0220825185091617,-0.0138795598752546
12,1532,-0.0547822803316795,-0.0278379046506845,0.971507463052243,0.0400312391901254,0.0122849859237188,-0.00154798751185028,0.00270437595018549,0.00511499833003826,-0.0180476325559802
13,1533,-0.0543391147846443,-0.0276933117411684,0.971488162891473,0.0415144882013909,0.0124357675463344,-0.00208158503591644,-0.0123993053193148,0.00530437214810584,-0.0305592701721282
14,1534,-0.0538943989734787,-0.0275452254185008,0.971467252369956,0.0418214423526826,0.0126647978169381,-0.00239122664651695,0.0385132796726253,-0.0644439991623988,-0.0353860599238732
15,1535,-0.0534635240282374,-0.0273955263550284,0.971446041931883,0.0406621641874632,0.0125336415045176,-0.00245622909662112,0.0318505601769179,-0.151243436464401,-0.0321201148467418
16,1536,-0.053024387171306,-0.0272770137188342,0.971424576626683,0.0404355222487266,0.0104072035372078,-0.00243670974278388,-0.00635270622284294,-0.0612063230813778,-0.0104474108269715
17,1537,-0.0525799547663073,-0.0271835148413063,0.971402370325219,0.0407485699317726,0.00829820079213411,-0.00263851599438252,-0.0166863543684353,-0.0739015768031016,-0.0228691660934208
18,1538,-0.0521265524871638,-0.0271106284220767,0.971379314126019,0.0411710536162852,0.00647736305493474,-0.00256951304640977,-0.0340090534649372,-0.0712925203026813,0.00301736686756638
19,1539,-0.0516627763463666,-0.0270508729171824,0.97135572336296,0.041902264459435,0.00479119141310211,-0.00279593644974269,-0.0250660554039647,-0.0918329940552861,-0.0160893907699538
20,1540,-0.0511913047078936,-0.0269996259103196,0.97133185430035,0.0427464796273192,0.0035742326170103,-0.00274456535948414,-0.0100920561080146,-0.1002623089862,0.00158847440577904
