,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,1014,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135527,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.6102129064991,0,0,0,89.99840582901,-165.503399446359,-165.502814681435,0,90,0,0.000323630731493138,0.000476098522361755,0.00124850442808307,0,0,0,89.9984058283241,14.4966005536892,14.4971853186129,0,90,0,-0.000323630731491548,0.00047609852236255,-0.00124850442808307,-16.6204544843238,-26.4703383726379,-1.65108756974105,-0.592429245585128,30.7106503255007,-16.6755080955304,11.4637178568726,-2.77844576194337,-2.42575283464703,0,0,0.0,-5.5313123313874,-8.63398879832143,11.0850952583266,1.28263919845874,3.3924915693874,13.989909260616,4.24957466416845,11.3865902822557,6.00616269459385,0,0,-6.03828685378782
1,1015,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136004,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9984500022204,-177.89349897611,-177.893286215675,0,90,0,4.88147684516157e-05,0.000174970544771308,0.00125164705949582,0,0,0,89.9984500017501,2.10650102401359,2.10671378444916,0,90,0,-4.88147684484352e-05,0.000174970544771308,-0.00125164705949105,-16.6052873676165,-26.425767990959,-1.65292233333172,-0.617901597201386,30.5706446919727,-16.7226212867195,11.4957389690236,-2.66717927092328,-2.46602784996715,0,0,0.0,-5.30098536368515,-8.13662358264999,11.2808516098297,0.988318299024436,3.03474589324665,14.4507357012641,3.97302372977312,11.5665452961795,5.78410643687322,0,0,-6.14170688716183
2,1016,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136004,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.9984778029939,-154.088987893284,-154.088468392014,0,90,0,0.000532619438429605,0.000417354595385265,0.00110785810293476,0,0,0,89.9984778022755,25.911012106612,25.9115316078814,0,90,0,-0.000532619438426425,0.000417354595390831,-0.00110785810293476,-16.6040458000341,-26.4255500857826,-1.64053764783012,-0.63769606960399,30.5317245633849,-16.7579239958542,11.5222993108751,-2.63131290192182,-2.50693985735112,0,0,0.0,-5.06972755514538,-7.61096619444843,11.4576674064582,0.67910530617531,2.73065967862087,14.9009545478806,3.91167731890732,11.762412965084,5.79094812618105,0,0,-6.0096621557944
3,1017,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510135686,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9986501382342,-151.926022004413,-151.924867542441,0,90,0,0.000513537501425292,0.000927747276326097,0.000963907628315971,0,0,0,89.9986501376942,28.0739779956294,28.0751324576008,0,90,0,-0.000513537501422111,0.000927747276330073,-0.000963907628314381,-16.6113410774085,-26.4487319174561,-1.6203178662286,-0.659689662292374,30.5217396956741,-16.8001347866875,11.5501751500958,-2.59943827001162,-2.55127748671951,0,0,0.0,-4.83865149699187,-7.06857493754517,11.6350487931128,0.356184409794261,2.51185673182667,15.3567484976708,3.9174829285928,11.8821475589649,5.860494871662,0,0,-6.20783223295504
4,1018,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136004,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9989076624312,-158.699654842763,-158.697923109002,0,90,0,0.000322578464849304,0.00139466698975675,0.000823813104492765,0,0,0,89.9989076620976,21.3003451571652,21.3020768909261,0,90,0,-0.000322578464846123,0.00139466698975516,-0.000823813104491175,-16.621876272615,-26.481213181602,-1.59545639176049,-0.689230791871345,30.5332287202603,-16.8473539485044,11.5619303030563,-2.57285608806222,-2.58980016413878,0,0,0.0,-4.62302418296147,-6.51469211502939,11.8224476667021,0.0413589711091063,2.36611441878776,15.8251559034083,3.91111175966735,11.8613045465422,5.93706306973086,0,0,-6.54544644977451
5,1019,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136004,0,0,5.83225193843584,0,0,12.6102129064991,0,0,-12.6102129064991,0,0,0,89.999018202254,-174.794330653564,-174.792668029065,0,90,0,7.44917018401099e-05,0.00134404716099048,0.000790436293620357,0,0,0,89.9990182015115,5.20566934654887,5.20733197104785,0,90,0,-7.44917018432904e-05,0.00134404716097617,-0.000790436293626718,-16.628240045855,-26.5112172540741,-1.57502596825597,-0.727491150040569,30.5631414742732,-16.8902859934691,11.5799757282713,-2.56628431136802,-2.62879728671173,0,0,0.0,-4.43132786580176,-5.97317872531846,12.0168669973024,-0.251191874519641,2.22968911302986,16.3067373603539,3.88432867397664,11.7533058376359,5.99204271777303,0,0,-6.89055643950504
6,1020,0,0,0,0,0,-5.82634181333449,0,0,-0.00591012510135845,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.99896785122,177.846067090078,177.847513758228,0,90,0,-3.02876608473137e-05,0.00117077494451124,0.000833041040492775,0,0,0,89.9989678505138,-2.1539329095574,-2.15248624140736,0,90,0,3.02876608473136e-05,0.00117077494450647,-0.000833041040491185,-16.6318277861369,-26.5498011571277,-1.55907529399977,-0.766383726968619,30.5967937661214,-16.9316261302616,11.5774517525763,-2.55632724418765,-2.65849302980178,0,0,0.0,-4.2561803677563,-5.46754111228087,12.2096128956257,-0.527732737161619,2.04904648500101,16.7761181966994,3.89931070450477,11.626653773072,6.07147161056781,0,0,-7.10414832285824
7,1021,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135686,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9986599318869,-161.582785977811,-161.581511274985,0,90,0,0.000338397194195961,0.00103147239185111,0.00102547575543089,0,0,0,89.9986599313429,18.4172140224249,18.4184887252507,0,90,0,-0.000338397194195961,0.00103147239185032,-0.00102547575542453,-16.6337131678841,-26.6128040107641,-1.54510532097718,-0.802300445998115,30.6345186006886,-16.9762143812448,11.5871087900465,-2.53354325347287,-2.68539924891534,0,0,0.0,-4.09441474004505,-4.99096955888504,12.392951722985,-0.792045606656273,1.78849373610813,17.2152773974052,3.94391855404435,11.5117144159775,6.16893322731926,0,0,-7.33292479724621
8,1022,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510135845,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9983240758225,-141.237285164676,-141.235848019892,0,90,0,0.000842819151085362,0.00116003723464786,0.00105568953259437,0,0,0,89.9983240758225,38.7627148349375,38.7641519797218,0,90,0,-0.000842819151085362,0.00116003723466377,-0.00105568953260074,-16.6333828832606,-26.6976183230958,-1.52198047853735,-0.832472912115261,30.6749773960116,-17.0169386704823,11.5878470238649,-2.50662470642755,-2.70527292631313,0,0,0.0,-3.93512599623479,-4.54490965774222,12.5720805050984,-1.04131549338171,1.44673062924198,17.6143954159553,3.98450594638135,11.4085909111387,6.25690465313668,0,0,-7.61813633254711
9,1023,0,0,0,0,0,-5.82634181333448,0,0,-0.00591012510136163,0,0,5.83225193843584,0,0,12.610212906499,0,0,-12.610212906499,0,0,0,89.9979749621147,-129.93444446789,-129.932730946475,0,90,0,0.00125063810445668,0.00138242798982518,0.00105046920212539,0,0,0,89.9979749617548,50.0655555320716,50.0672690534865,0,90,0,-0.0012506381044535,0.00138242798983552,-0.00105046920212698,-16.6350973441175,-26.8077021459312,-1.48610425733771,-0.858104984657248,30.7214624126706,-17.0547126892042,11.5851636876888,-2.47054764076978,-2.72384251979135,0,0,0.0,-3.78819769540234,-4.15709921573399,12.7512212994965,-1.26480870464466,1.0574291204049,17.9767004617643,4.024939364764,11.3174724747482,6.32942785584769,0,0,-7.92083309000567
