,MVN version,2021.0.1
0,Original File Name,E:\????\?????? 6 ????? ????? ????? ????.mvn
1,Suit Label,MVN System 1
2,Recorded Date UTC,2023-12-10 10:59:45
3,Frame Rate,100
4,Processing Quality,Live
